idx,complexity,loss,equation
1,1,0.008069778757760165,0.11674567252422464
2,3,0.00328289939012282,t_norm * 0.056446275651299775
3,5,0.0032806120103731616,(t_norm * 0.0575349925860448) + -0.00302300324882213
4,6,0.003097984382792087,inv(β + 16.999389218513944) * t_norm
5,7,0.0014538604203875388,t_norm * ((β * -0.061932278404792984) + 0.09050902877449103)
6,8,0.0014472240275982865,t_norm * (inv(β + -4.587117959126777) + 0.3054129560140735)
7,9,0.0011575265592344568,((t_norm * 0.05753499253577362) + 0.08520764103310635) + (β * -0.16041935389536108)
8,10,0.0008386658513915436,inv((t_norm * (β + -1.2317181574476541)) + -2.109977530913561) + 0.42475895724370855
9,12,0.0008356135277211397,(inv(((β + -1.2446188082623073) * t_norm) + -2.3721232490190465) + 0.3814700142504922) * 1.1707436522176746
10,13,0.0006918194441923669,(inv((inv(β) * (t_norm * t_norm)) + 8.992956929001801) * -2.7268311361263686) + 0.28249588228707456
11,15,0.00031156252415010676,(inv((((t_norm * inv(β)) + -1.9579246579486933) * t_norm) + 5.046223872802026) * -1.1841375052542558) + 0.25928472350877035
12,17,0.0002348544111710921,(inv((t_norm * ((t_norm * t_norm) * (inv(β) + -0.90257372281209))) + 5.322965217145577) * -1.3293904167350106) + 0.2409794016798977
