complexity,loss,equation
1,0.0007413132203795725,0.03432901683351025
3,0.0005014340078835396,t_norm * 0.11756186398367004
5,0.00045480908759427296,(β * -0.05482679258888443) + 0.04454056111603505
6,0.00033763197684639774,inv(β + 0.08824860421490553) * 0.004957698124818079
7,0.00015857465850388424,t_norm * ((β * -0.1872227092681172) + 0.15243227857927122)
8,2.8153966073071766e-5,t_norm * (inv(β + 0.09290631185850233) * 0.017697133591834748)
10,1.7247551906858332e-5,inv(β + 0.09221968057613618) * (0.015131316674120559 * (t_norm + 0.05910605793914277))
12,8.32720071093379e-6,(t_norm + 0.05882147843784468) * ((inv(β + 0.14630423321547525) + -1.0809880223360515) * 0.028000459622524905)
14,6.109586275658424e-6,(β + (inv(β + 0.23759835225936196) + -1.7736664910738793)) * ((t_norm + 0.05898462191086432) * 0.06561031011694185)
15,5.9589242282008205e-6,((β + -0.9152856673378443) * (t_norm + 0.05855672549085392)) * (inv(inv(β) + 4.329256182362868) + -0.17447614367253012)
16,3.437178122075566e-6,((((inv(β + 0.2248404433634774) + β) + t_norm) + -2.1659490114652153) * (t_norm + 0.1066691753366253)) * 0.05363017728237764
18,1.491822143160148e-6,(((inv(β + 0.23800246200743413) + β) + -1.7725794607536673) * 0.05742779114895709) * (((t_norm + 0.5825453215189641) * t_norm) + 0.12321188623965201)
