id,smape_val,rmsle_val
n1067,15.784008287030108,0.010774350586897994
n488,1.2448514221874498,0.007966861117090735
n713,9.830761876180723,0.026444966008542705
n1286,14.582325100762725,0.04954371283907892
n750,0.6137532024552875,0.0013967750757964896
n1001,11.651722594595755,0.04419193797085713
n1043,4.8109107698454485,0.030364538132135677
n1471,13.005639583243006,0.04856385428877058
n736,15.00157529579081,0.11361794279107768
n977,5.337512569726818,0.05341702836043927
n1437,0.5780884608144516,0.0008591150563913933
n768,6.876376750809208,0.017650209470250255
n240,15.633848510275037,0.06427363232854766
n31,6.693261496297789,0.07699658170421343
n606,59.17353750814199,0.2780495442544729
n916,3.8584553608905656,0.0062586627994555095
n772,2.562113662800823,0.005177998867731874
n1543,11.79411746088053,0.013728405464981205
n1280,20.00381930137566,0.04973451559622708
n460,5.232335867351878,0.006312243955693501
n377,0.6989476979866825,0.006524932551084447
n54,6.724039841181879,0.07880710917405234
n1028,16.868394705104908,0.14728793799166529
n998,5.305565458899521,0.02671573942595765
n1462,7.688115764331541,0.034830711143846116
n94,3.716805551921396,0.006822097351005293
n1341,4.470547357272127,0.04905088403681101
n1283,4.08729592633944,0.0354194203338578
n1461,2.599961509795916,0.001919684272201194
n365,33.680168128615094,0.028800750163309744
n1255,7.8287743574140904,0.05182311242773247
n195,1.7351479973140516,0.012454628829917918
n689,20.498968383553496,0.09760120095153811
n629,28.222963926059496,0.019650377092746578
n1295,1.9671529752508188,0.0063346506115465745
n1191,3.416193727837903,0.014231384696959013
n766,14.60761128413882,0.07980701659021301
n1212,21.98613409662361,0.2519812949063488
n598,1.6791704513392638,0.018790178451423473
n724,1.3771317510195515,0.009766694998095024
n1000,2.297841164761493,0.006663561050899591
n1379,8.631083712859876,0.03405166853986592
n792,4.1059998655634615,0.04271238063896342
n827,9.51117517848684,0.013201971061868654
n1477,1.9052194599614003,0.010829990444235734
n463,29.52242104218984,0.15722930307117902
n441,8.360993589568197,0.09401824140288068
n1186,3.6332229065013495,0.03307375284962559
n356,6.584930461289675,0.02531784946942079
n270,3.86371162898859,0.021758175602271557
n1319,12.860220336940337,0.045394473686196916
n1250,6.714446292395697,0.021948253524193218
n253,2.1053764544464113,0.016630471660842853
n1117,7.52800079382559,0.008515114489020072
n121,2.4709121227011797,0.01305830063569186
n281,6.5455399901126405,0.04781503340120584
