model,dataset,param,mean,std,q1,median,q3,iqr
ODE,MIMIC-IV,a,0.9934402948559643,2.653819549505632,0.032812854928790734,0.07593411907593642,0.31941082452823844,0.2865979695994477
ODE,MIMIC-IV,b,0.192413590970491,0.464451106798897,0.009380937250725677,0.055904661151047474,0.13735145511946611,0.12797051786874045
ODE,MIMIC-IV,Cs0,46.28757695902994,121.38637893212746,2.5812364648242543,7.252205537703011,18.88089260845898,16.299656143634724
ODE,MIMIC-IV,Cc0,15.19677784165984,53.88665045565555,0.19583381626806165,0.9806554802466845,4.821162551505724,4.625328735237662
ODE,MIMIC-IV,Td,160.32397760369727,145.95316503587756,45.555067279168384,128.32700875159924,210.309886385458,164.7548191062896
ODE,UMG,a,4.399533773447015,4.773649229170682,0.029361030198106944,1.7984310649496156,9.999999999657339,9.970638969459232
ODE,UMG,b,1.6417930542916517,3.0890527067417177,0.03343429081980182,0.07693186723303881,1.461193177637537,1.4277588868177353
ODE,UMG,Cs0,70.91676827308652,120.71808968388706,0.9899767166294987,5.659398312447662,91.14326108975085,90.15328437312135
ODE,UMG,Cc0,38.3771621740953,75.27323617534336,0.18768253851408984,1.9966467873952265,19.835632124188024,19.647949585673935
ODE,UMG,Td,120.27716203705532,114.75679608236001,28.502891632296592,92.91521613327717,159.04658501326662,130.54369338097004
cUDE,MIMIC-IV,a,1.0320612968175344,1.7821762726149826,0.04487256845852787,0.11190451378594707,0.6423553604366072,0.5974827919780794
cUDE,MIMIC-IV,b,0.6396639966460166,1.2731178329202881,0.05398305734164008,0.17147147124326517,0.3343065939547389,0.28032353661309883
cUDE,MIMIC-IV,Cs0,111.90070819476041,172.5707447330018,6.83781742506741,19.16331958721161,121.38047115688306,114.54265373181565
cUDE,MIMIC-IV,Cc0,6.485093781677856,15.825262127651424,0.43495776216325127,1.3369385589853988,4.316831162630154,3.881873400466903
cUDE,MIMIC-IV,beta,0.21808380985290737,0.202032967689363,0.054882827069806545,0.15337498664054527,0.34888427556698987,0.29400144849718335
cUDE,UMG,a,3.543834959241842,4.0966535674131155,0.12668785528820306,1.40643475477112,7.61511843749477,7.488430582206567
cUDE,UMG,b,1.3602133455873684,2.7379931883257993,0.07341392683448399,0.15897849711008444,1.263262491175499,1.189848564341015
cUDE,UMG,Cs0,72.79533756003404,129.60713287700392,5.68026049575675,17.266450296336973,60.61521715908645,54.9349566633297
cUDE,UMG,Cc0,18.78059222801071,66.41185028664434,0.857893290452181,1.850239691289891,8.168594669374832,7.3107013789226505
cUDE,UMG,beta,0.25899509238407037,0.2881570129739498,0.03844170213133443,0.1858959687907876,0.3760699250627155,0.3376282229313811
