id,smape_val,rmsle_val
n2,6.045276204143001,0.010567841573589554
n3,8.43976421984024,0.07326736628726434
n6,16.892588330661333,0.188080969236043
n7,3.608565238886337,0.02913458606692908
n13,33.86350849405676,0.2155954667383158
n31,6.809836993438758,0.0581112961668077
n44,9.897655472693405,0.018203390296729485
n45,10.847748771222845,0.034728834004199315
n46,10.869967176361092,0.025317777127855403
n48,10.674960748014767,0.029488710811484978
n57,15.973827071485077,0.10045384466845571
n60,5.209462395498066,0.008999747305735462
n62,8.276492038524097,0.04927128310285791
n63,24.313679267197948,0.01607540737672357
n66,7.089450068586651,0.0034448848338959805
n67,22.534309579192254,0.0034849640329638696
n68,3.4739426557634348,0.004894323428222245
n69,16.041493698349253,0.02051680191429048
n70,14.839680551091671,0.023996549272184874
n71,9.469619823923313,0.06389221004941371
n72,5.347204848375091,0.022297724565700658
n73,13.769982067518544,0.07974388683065887
n75,8.879212378774838,0.0667001677106911
n76,16.602512821947766,0.07541123660937558
n78,21.90846730113712,0.15913064726494067
n81,7.00345373101173,0.0206188833148834
n83,5.686310029310837,0.03531080477653523
n84,42.97242770776401,0.04680489357318293
n85,7.477157124914914,0.015415726126867136
n87,14.614995675781534,0.00341251114735996
n90,24.738210617247184,0.022611176250614234
n91,2.910243374335377,0.007835580983083412
n92,9.786801160392748,0.05242012275200908
n93,17.29443896254254,0.12053831395122641
n95,13.15734247252773,0.08100979621788679
n96,5.028587736413408,0.015828358055627094
n97,13.202347627094904,0.011375752670558374
n99,11.987624603558203,0.03597916387375379
n100,4.7641735604016455,0.017745916685699522
n101,22.278820121008476,0.07362787607250801
n102,21.671237089387407,0.18601935093028946
n105,4.192968038539833,0.0021225108208369216
n107,5.473998261297539,0.02871461465884188
n109,19.362110644729448,0.11064328202510051
n110,3.259716206906888,0.0005481682524497896
